会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
ジェイアールバス関東株式会社,0,ジェイアールバス関東株式会社は、バス事業を行う会社である。主な事業内容として、旅客自動車運送、自動車整備・小売及び自転車小売、旅行業、損害保険代理業及び生命保険の募集、自動車ターミナル業、広告業、駐車場の経営・倉庫業・小荷物預かり業・コインロッカー業、不動産の売買・賃貸・仲介・管理、車両の運行・運行管理・点検・保守に関する業務の請負などを行っている。,"運輸・物流業界, バス",〒 135-0043 東京都江東区塩浜2-18-13 6F,1988/3/3,小塙 隆一,"4,000,000,000円","今年求人を行なっている企業, マイナビ2025, 求人・転職・中途採用情報(募集人数10名以上), 会社説明会実施企業, 内部統制・コンプライアンス推進企業, CSRに力を入れている企業, キャンペーン実施企業, 不動産サービス, 事業所数を20拠点以上保有している企業, MIKAZE(展示会2), 一般社団法人記念日企業, グリーン経営, 公共社団法人バス協会, 公益社団法人 日本バス協会, 一般社団法人日本旅行業界, マイナビ女性のお仕事, マイナビ2019(運転), バス",https://biz-maps.com/item/5XY4mKXr1E,
有限会社金剛運輸,0,有限会社金剛運輸は、一般貨物、産業廃棄物の運搬を行う会社である。3tのパワーゲート車や3tから7tのクレーン付き車掌など10台を保有し、一貫貨物運送を行う。東京都、神奈川県をはじめ、新潟県、岡山県など13県で産業廃棄物及び特別管理産業廃棄物の収集、運搬の許可証を有する。さらに、ドライクリーニング事業所 から排出される汚泥、フィルターや活性炭などの収集、運搬を行う。,"運輸・物流業界, 一般貨物輸送, 環境・廃棄物処理",〒 143-0014 東京都大田区大森中3丁目19番9号,1953/12,金剛寺修司,"10,000,000円",-,https://biz-maps.com/item/3MYnxv4gl7,
株式会社ＣＢＭ,0,株式会社CBMは、現場管理を行っている会社である。オフィス移転の経験を活かし百貨店や病院、スーパーなどの工事管理を請け負っている。厨房設備の搬入や搬出作業、家具解体と組立業務や現場内の進行管理などを行っている。オフィス什器の買取、物流資材や仮設資材の買取と販売にも対応している。株式会社オフィスバスターズが主な取引先であり現場管理の全てを行っている。,"アウトソーシング・代行サービス, その他業務請負, 倉庫, その他サービス",〒 103-0022 東京都中央区日本橋室町1-5-3 三越前福島ビル2階,2017/1/23,熊谷寿,"40,000,000円",-,https://biz-maps.com/item/0mlzwa66ZO,
株式会社ハー卜・インターナショナル,0,株式会社ハー卜・インターナショナルは、引越しを中心とした物流サービスを提供している会社である。サービス水準を高品質で保つため、直営の営業所を全国に設置している。最近では、高齢者のための、コンシェルジュサービスをプラスしたプランも企画している。また、付帯サービス事業として、ハウスクリーニングや家事代行も行っている。,"その他サービス業界, 引越し, 電気設備工事, その他リース, 一般貨物輸送, 古本・リサイクルショップ, イベント",〒 101-0041 東京都千代田区神田須田町1丁目5番地10相鉄万世橋ビル7Ｆ,1990/9,太田至計,"161,000,000円",求人ボックス(事務職×東京),https://biz-maps.com/item/3MYnxW25l7,
東京都観光汽船株式会社,0,東京都観光汽船株式会社は、一般旅客定期航路事業として隅田川及び東京湾での水上バスの運航を行う。11隻の水上バスを保有している。隅田川とうろう流しクルーズや隅田川花火大会観覧クルーズ、アーリークリスマスナイトクルーズなどのイベントクルーズや、水上バスを貸切り、コースや時間帯を選べるチャータークルーズを行う。,"運輸・物流業界, 海運",〒 111-0033 東京都台東区花川戸1-1-1,1898/9,守谷 慎一郎,"61,500,000円","運輸・物流関連企業@関東, キャンペーン実施企業, AI・ロボット, 新製品・新技術開発助成事業",https://biz-maps.com/item/yP10kKN6YM,
京橋ロジス株式会社,0,京橋ロジス株式会社は、倉庫業等を行う会社である。一般財団日本自動車査定協会、日本通運株式会社等多数の取引実績を持つことが強み。梱包に特化して日々業務レベルの向上を図っており、入荷検収をはじめ、確実な在庫保管、丁寧なピッキング作業、出荷、梱包、修正、仕分け、検品作業等多様なサービスを提供している。,"アウトソーシング・代行サービス, その他業務請負, 倉庫",〒 104-0033 東京都中央区新川1-10-13,1951/12,八木 利昌,"10,000,000円","事業再構築補助金(令和3年第3回採択結果), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, indeed(データ入力)",https://biz-maps.com/item/kDZrb0wyZG,
矢吹海運株式会社,0,矢吹海運株式会社は、港海運送業を行う会社である。通関手続きの代理や代行業務等を担う通関業や国際複合輸送、航空貨物取り扱い、輸出入業務代行、利便性の向上・コストの削減を担う商流事業、倉庫業、梱包業、機械設備などの組立・解体業等を展開している。,"運輸・物流業界, 海運",〒 108-0023 東京都港区芝浦2丁目17番4号,1938/4/11,矢吹 欣一郎,"60,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), 運輸・物流関連企業@関東, マイナビ転職(社宅保有企業), リクナビ(中国×貿易), 第16回東京総務・人事・経理Week2021(来場者), 働き方改革EXPO2021(来場者), 海外進出企業、海外取引, オフィスサービス, 不動産サービス, リクナビ(海外に拠点がある企業), 日本企業の中国ビジネス拠点, キャリトレ(営業・マーケティング・コンサルタント、経営、企画、管理), キャリトレ, 一般社団法人国際フレイトフォワーダーズ協会, リクナビ2020(営業), 協会・組合, 企画職募集, マーケティング職募集",https://biz-maps.com/item/3eYPQX6o1E,
ジャパン・バン・ラインズ株式会社,0,ジャパン・バン・ラインズ株式会社は、海外・国内の海貨、複合輸送、通関手続きなど幅広くサービスしている企業である。物流業では長年の実績と知識を最大限に活かした品質の高いサービスを提供する。強みとしている豊富な知識と経験から通関や梱包、国内輸送を一貫してフルサポートする。海外とのネットワークのつながりも多く持っている。,"運輸・物流業界, 海運",〒 105-0004 東京都港区新橋1丁目11番7号 新橋センタープレイス7階,/2,黒栁 智太郎,"50,000,000円","今年求人を行なっている企業, リクナビ2025, 運輸・物流関連企業@関東, 求人ボックス(海上コンテナの仕事×東京・神奈川検索), 海外進出企業、海外取引, 新商品リリース企業, 一般社団法人国際フレイトフォワーダーズ協会, indeed(運送), マピオン倉庫保有企業, 協会・組合, indeed, 倉庫保有",https://biz-maps.com/item/kVZEABLwZE,
東京都民自動車株式会社,0,東京都民自動車株式会社は、一般の乗用客の自動車運送業を行っている会社である。タクシー運送業として乗客を目的地まで安全に届ける業務をしている。定額運賃サービスがあり、空港やでディズニーリゾートまでの運賃が定額なので荷物移動の負担を軽減できる。乗務員も随時募集し、定年の定めがない企業としてメディアに紹介される。,"運輸・物流業界, タクシー",〒 151-0073 東京都渋谷区笹塚1-56-6笹塚楽ビル7F,1956/11,木付 義行,"10,000,000円",タクシー,https://biz-maps.com/item/kDZrrm2nZG,
キャピタルモータース株式会社,0,キャピタルモータース株式会社は、一般乗用旅客運送業等を行う会社である。公共交通機関としてタクシーを通じ、「安全」「安心」なサービス提供を実施。また、顧客ニーズに合わせた「ドア・ツー・ドア」「ファイス・ツー・フェイス」の心のこもったサービスを届けている。さらに、外出応援タクシー及びジャンボタクシー等の事業も展開。,"運輸・物流業界, タクシー",〒 167-0033 東京都杉並区清水3-16-10,1949/10,磯 博樹,"15,000,000円","ドラEVER掲載企業, youtube, 中途採用を複数媒体で行っている企業, 新卒採用を複数媒体で行っている企業, リクナビ(プレエントリー)@東京・大阪, ドラEVER掲載企業, タクシーサイト(全国で働けるタクシー会社), グリーン経営, インスタ・Youtube活用企業, JOBRASS新卒2018, リクナビNEXT(採用予定人数10名以上), マイナビ転職Woman, マイナビ転職(募集人数10名以上の求人), マイナビ就職EXPO(東京ビッグサイト2017年3月), FROM40(製造・設備・運輸系), マイナビ2017, タクシー, JOBRASS, ドラEVER掲載企業",https://biz-maps.com/item/oP1D3A3wYx,
高鉄交通株式会社,0,高鉄交通株式会社は、タクシー事業を行う会社である。多摩御陵入口で高尾地区を中心に、中型車37台・特定大型車1台・大型車1台にて365日24時間営業を展開している。併せて、羽田空港定額運賃での運行サービスも行っている。この他に、自動車の板金・塗装修理を手掛けている。,"運輸・物流業界, タクシー, 自動車整備",〒 193-0834 東京都八王子市東浅川町33-1,/7,青木　淑行,"20,000,000円",アクティブシニア活用,https://biz-maps.com/item/bkZRNAeeZB,
山水海運株式会社,0,山水海運株式会社は東京都千代田区を拠点にポストフィクスチャー業・船舶代理店業を行う。契約書の作成をはじめ、傭船の住備・積地・揚地での荷役、船荷証券の発行・運賃・傭船料の支払い・運航に関する付帯業務など多岐に渡り取り組む。また穀物や砂糖・石炭・セメントの貨物、クルー交代や燃料の手配など国内全港対応でお客様のニーズに合わせたサービス提供に努める。,"アウトソーシング・代行サービス, その他業務請負, 海運",〒 101-0035 東京都千代田区神田紺屋町17番地 ONEST神田スクエア6階,1953/3/31,増田 尚昭,"10,000,000円",運輸・物流関連企業@関東,https://biz-maps.com/item/3MYn32X717,
日本自動車交通株式会社,0,日本自動車交通株式会社は、一般乗用旅客自動車運送を行う企業である。昭和25年の創業以来、60年以上の歴史をもつタクシー会社であり、東京エリアではナンバーワンの配車実績を誇る。主に東京23区や武蔵野市、三鷹市を中心に業務を行っており、東京タクシーセンターにおいて「優良事業者表彰」を受賞した実績も持つ。,"運輸・物流業界, 運輸・物流業界, タクシー, タクシー",〒 165-0034 東京都中野区大和町1丁目68番7号,1950/12,村澤儀雄,"20,000,000円","今年求人を行なっている企業, マイナビ2025, ドラEVER掲載企業, マイナビ2023 (21年11月), サブスクリプションサービス, 会社説明会実施企業, 中途採用を複数媒体で行っている企業, マイナビ転職(社宅・家賃補助制度), FROM40(製造・設備・運輸系)",https://biz-maps.com/item/WBlxppbyl8,
東武鉄道株式会社,116,東武鉄道株式会社は鉄道、軌道および索道による一般運輸事業、自動車運送事業、不動産の売買、賃貸借などを行う会社。鉄道路線網は東京、千葉、埼玉、栃木、群馬の1都4県にわたる。また池袋を起点とした埼玉県の中央を西北に伸びている東上線は、沿線の開発が進み、主に通勤・通学輸送の使命を担う。,"運輸・物流業界, 鉄道",〒 131-8522 東京都墨田区押上2-18-12,1897/11/1,都筑　豊,"102,135,971,747円","上場企業(中期経営計画開始・終了時期)@東京, 国土交通省宅地建物取引@東京, 今年求人を行なっている企業, マイナビ2025, 上場企業(PBR等の情報付加)@東京エリア, PR TIMES(アニメ・コラボ企画), 上場企業(人事に関わる役員), グループ会社運営の会社・企業, 日経電子版(総合小売・食料品小売業界), COVAVIS(全業種・上場企業), 土地保有企業上位300@全国, 上場企業(IRBANK・PBR値), キーマンレター(経営企画部門), メンテナンス・レジリエンスTOKYO2022, 人事部署直通@関東, ビッグカンパニー(全国の上場企業一覧), キーマンレター(エンタープライズの決裁者一覧), キーマンレター(経営企画部門の決裁者一覧), 早期退職者募集上場企業(2021年), キーマンレター掲載(マーケティング・人事・DX・情シス)",https://biz-maps.com/item/jg16RR4R19,
不退運輸株式会社,0,不退運輸株式会社は、一般貨物運送事業を手掛けている会社である。印刷物と発送物をメインとした配送業務を得意としている。1tから13tまでの大型車に対応しており、荷物に合わせた小回りの利く配送ができる。利用者に安心感と信頼をもって利用してもらえるように、「プライバシーマーク」と「Gマーク」の認証を取得しており、安全意識が高い運転手が配送業務を行っている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 175-0082 東京都板橋区高島平1丁目43番3-101号,1984/4/25,今井 仁,-,"グリーン経営, 運送業",https://biz-maps.com/item/9oZ3Gp27Zq,
ＴＲＵＴＨＬＯＧＩＳＴＩＣＳ株式会社,0,TRUTHLOGISTICS株式会社は、集荷から配送までを海上輸送サービス・航空輸送サービスとして行っている会社である。国際物流輸送業者に成長しており、海外の代理店によるネットワークを生かし安全で確認、迅速な物流を可能にしている。また通関ロジスティクスサービスとして輸出入のドアtoドアの手配を手掛けている貿易のエキスパートである。,"運輸・物流業界, 海運",〒 140-0013 東京都品川区南大井3-27-14 TRUTH BUILDING,2003/11,青山 誠公,"10,000,000円","運輸・物流関連企業@関東, 海外進出企業、海外取引, オフィスサービス",https://biz-maps.com/item/0W1wp8XklB,
株式会社食品流通システム,0,株式会社食品流通システムは倉庫業務・配送業務等を行う会社である。乳製品等のチルド製品を中心に入出庫保管業務を実施。引取から配送まで一貫して行うセンター業務では大ロットから小ロットまでの取り扱いに対応。一部センターではデジタルピッキングを導入。主な取引先は協同乳業株式会社、メイトーフードサービス株式会社、株式会社ツルヤ等。,"運輸・物流業界, 倉庫, 一般貨物輸送",〒 103-0016 東京都中央区日本橋小網町17番2号,/2,辻井康之,"50,000,000円","youtube, 中途採用企業, indeed(要普通免許), 運輸・運送, 運送業",https://biz-maps.com/item/oelOLxXVZA,
株式会社ダスキンシャトル東京,0,株式会社ダスキンシャトル東京は、加盟店向けデリバリーアウトソーシング機関を営む会社である。都心部の倉庫スペース問題・余剰商品の残り・売上が伸び悩んでいる問題に対応。既存の顧客へのレンタルに携わる業務を一括で請け負い、在庫確保・管理を営業所倉庫で行う。また、帳票類発行・商品発注・OMM管理の代行業務も請け負う。,"アウトソーシング・代行サービス, アウトソーシング・代行サービス, データ入力・事務作業代行, データ入力・事務作業代行, 倉庫, 倉庫",〒 136-0076 東京都江東区南砂7丁目17番10号,1992/6/2,朝倉　章夫,"10,000,000円","健康経営優良法人2023(中小規模法人部門・ブライト500を除く)認定法人一覧, 中途採用を複数媒体で行っている企業, 健康経営優良法人2021認定一覧(中小部門), 3月決算企業(従業員30_100名)@東京・神奈川・千葉・埼玉, ダストコントロール店舗, ダスキン事業者, indeed(営業職・車通勤・社用車貸与), DODA(営業), indeed, DODA, 営業職募集",https://biz-maps.com/item/Vo1eyemN1W,
UPSジャパン株式会社,2,UPSジャパン株式会社は、世界最大の小口貨物配送会社である。小口貨物からパレットまで、国内から海外まで、柔軟で、信頼性があり、良心的価格で、顧客のビジネスにフィットする出荷ソリューションを利用可能である。必要とする場所へいつもで必要な情報を正確にお届けするための様々な追跡ツールを開発し、提供を行っている。,"運輸・物流業界, 一般貨物輸送, 空運, 海運",〒 108-0023 東京都港区芝浦4丁目13番23号 MS芝浦ビル13F,/11,-,-,"外資系企業, 運送業",https://biz-maps.com/item/KL1mz07gly,
ＭＡＲＵＳＡ株式会社,0,MARUSA株式会社は運送事業やロケバス・ロケ車手配サービスを行う企業である。一般貨物配送、映像・精密機械輸送、フィルム・テープ類の輸送と廃棄などを手掛ける。特に映像関連精密機器・機材の輸送に長年の実績があり、運搬用途に合った車種にて全国チャーター輸送する。また、TV番組やCM制作プロダクション、広告、雑誌等出版関係スタッフのサポートとしてロケバス手配サービスを提供する。,"運輸・物流業界, バス",〒 141-0022 東京都品川区東五反田3丁目20番17号,1951/4,佐藤 肇,"10,000,000円",-,https://biz-maps.com/item/3MYn3EMb17,
星光運輸株式会社,0,貨物の運送や自動車の運転代行などを行う会社,"運輸・物流業界, 一般貨物輸送",〒 101-0032 東京都千代田区岩本町1-5-8 東京雄星ビル8階,1978/4/1,秋山 裕司,"30,000,000円","東京都産業廃棄物協会, 運送業, 協会・組合",https://biz-maps.com/item/oP1DM9qDlx,
第三運輸倉庫株式会社,0,第三運輸倉庫株式会社は、ドラム缶・その他各種容器の輸送及び液体化成品の保管・小分け・輸送を行っている会社である。会社として環境保全に対して万全の体制で臨み、安全かつ迅速な輸送によって社会貢献すべく日々努めている。,"運輸・物流業界, 一般貨物輸送",〒 132-0035 東京都江戸川区平井７丁目２番20号,1962/11,勝田 修,"10,000,000円",-,https://biz-maps.com/item/V2lkLNJaZ5,
関東ロジスコ株式会社,0,関東ロジスコ株式会社は、一般貨物自動車運送事業を展開している会社である。内航船利用運送と運送事業を2つの柱業とし、また海と陸を結ぶ海陸一貫輸送も広く提案している。トラック輸送・海上輸送・航空輸送など、物流システムの構築を支援することで、輸送機関・輸送ルート・輸送器具などクライアントのニーズに応えるロジスティクスサービスを提供している。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 135-0016 東京都江東区東陽2-5-18 ジャパンハイツ東陽,1981/10,榎本 淳衞,"11,000,000円",-,https://biz-maps.com/item/WX1NmpoKYj,
株式会社セキトランスサービス,0,株式会社セキトランスサービスは、一般貨物運送事業を行う。また、産業廃棄物収集運搬業務も手がけている。主な業務として、精密機器配送・設置、家具配送・設置、医療機器配送、介護用品配送・組立・設置、チャーター、定期配送などがある。なお、2t車・2tパワーゲート車など、計25台の車両を保有している。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 140-0013 東京都品川区南大井1-10-9,1993/4/27,板倉 英樹,"11,500,000円",-,https://biz-maps.com/item/D0YLPj53Y9,
株式会社牛走運送,0,株式会社牛走運送は一般貨物運送事業・引越し等を行う会社である。地元密着企業として軽トラックに積めるだけ荷物を積み、既定の距離まで定額で運ぶサービスを展開。軽トラック20kmまで4860円で対応。また、引越しにも対応しており13500円から受け付ける。「ペット・ムービング」ではペットの移送を実施。ケージ完備の専用車両で顧客の車を汚すことなくペットを移送。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 180-0003 東京都武蔵野市吉祥寺南町1-28-4 MAC吉祥寺コート106,1985/2,大淵元郎,-,"ドライバー求人, 運送業",https://biz-maps.com/item/WQ18yNAyl7,
株式会社ミサワ運送サービス,0,株式会社ミサワ運送サービスは、貨物自動車運送業、労働者派遣事業などを手掛ける会社である。また、損害保険代理店業や梱包機械・梱包材料の製造、販売、倉庫業なども営む。ほかに、ソフトウエアの制作販売・運用管理受諾も行い、幅広い事業を展開している。主要取引先は、株式会社NECロジスティクスや株式会社近鉄ロジスティクス・システムズなどである。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 183-0034 東京都府中市住吉町3-33-6千葉ビル1F,1989/9/1,東里 寛,"15,000,000円",-,https://biz-maps.com/item/gm1yGyJbZo,
東光運送株式会社,0,一般貨物運送業や倉庫業および引っ越し業を行う会社,"運輸・物流業界, 一般貨物輸送, 引越し, 倉庫",〒 132-0035 東京都江戸川区平井4-15-18,1953/3/11,茨木 征三,"10,000,000円","プロパンガス協会@全国, スポーツチーム(スポンサー), サウナタイム@全国, スポーツチーム運営企業@全国, 岩手ビッグブルズ(スポンサー), 倉庫保有, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/XyYKPdwq1g,
東京水産ターミナル株式会社,0,東京水産ターミナル株式会社は、冷蔵倉庫の賃貸、運営及び管理を行う会社である。東京都の港湾計画に位置づけられ、都所有の公共上屋を有するなど、公共性が高い企業である。世界有数の大規模低温物流拠点として、皆様の食卓に食品を届けるための重要な役割を担い続けている。,"運輸・物流業界, 倉庫",〒 143-0001 東京都大田区東海五丁目3番5号,1972/9,藤本 健次郎,"960,000,000円","BtoB業種, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 東京冷蔵倉庫協会, 倉庫保有, マピオン倉庫保有企業, 冷蔵倉庫保有, 倉庫保有",https://biz-maps.com/item/B2lvjRKKlV,
有限会社東邦物流,0,生コンクリートの配送を行っている会社,"運輸・物流業界, 一般貨物輸送",〒 135-0061 東京都江東区豊洲4-11-3 関東宇部コンクリート工業豊洲工場構内,1996/10,関根 孝,"10,000,000円","求人ボックス(工場_東武東上線沿線), 運送業",https://biz-maps.com/item/O2lgeX2yYn,
株式会社東洋運輸,0,株式会社東洋運輸は、貨物自動車運送事業・一般引っ越し事業を行う会社である。主な取引先は、中央ヤクルト物流株式会社、ヤマト運輸株式会社などがある。誇れるものに、優れた人材の育成がある。10年、20年といったベテランを揃えていて、その豊富な経験を活かしながら「輸送のプロ」として各自責任を持って業務を行っている。,"運輸・物流業界, 一般貨物輸送",〒 189-0011 東京都東村山市恩多町1丁目30番-2,1986/1,中島 昭治,"11,000,000円","グリーン経営認証トラック業者, グリーン経営, 運輸・運送, 運送業",https://biz-maps.com/item/WBlxE07dZ8,
株式会社東邦運輸,0,株式会社東邦運輸は、物流事業を展開している会社である。主に、法人向けに一般貨物運送業・倉庫管理・事務所管理・機密書類回収・産業廃棄物収集・リース品回収等を請負っている。個人向けに、引越・家具家電設置・ハウスクリーニング等を手掛けており、遺品整理・生前整理等の相談にも対応している。また、車両修理事業も行っている。,"運輸・物流業界, 冷凍冷蔵車運行",〒 203-0053 東京都東久留米市本町3-1-9シャインハイツ東久留米1ーE,1970/11,中島 秀治,"10,000,000円","今年求人を行なっている企業, マイナビ2025, 求人ボックス(事務職×東京), ハローワーク(事務職採用×一都三県), マイナビ2023 (21年11月), youtube, 新卒採用企業(1年以内), リサイクル・廃棄物処理, SPACEMARKET(会議・研修スペース), 運送業, 倉庫保有, 営業職募集",https://biz-maps.com/item/jVYqy4DbYJ,
株式会社安江運輸,0,株式会社安江運輸は、一般貨物自動車運送業などを行う会社である。冷凍車を中心とした食品輸送から、重量物運搬、精密機器輸送をメインにした運送業務を行っている。東京都大田区を拠点に、首都圏へのきめ細やかな輸送と、関東一円の輸送を行っている。産業廃棄物の収集運搬も行っており、環境問題の改善に努めている。,"運輸・物流業界, 冷凍冷蔵車運行",〒 144-0051 東京都大田区西蒲田6-18-20,1967/3/1,安江 清吉,"70,000,000円",運送業,https://biz-maps.com/item/3MYny0E9Z7,
御岳登山鉄道株式会社,0,御岳登山鉄道株式会社は、鉄道業・索道業・駐車場・食堂・売店業などを行っている。他にも、ツアーイベント『御岳山天空ツアー』などを開催している。さらに、ケーブルカー滝本駅の売店ではくんせいチーズ・くんせいたまごなどの地元の特産品・名産品やケーブルカーのオリジナルグッズなど数多くの商品を取りそろえている。,"運輸・物流業界, 鉄道",〒 198-0174 東京都青梅市御岳2-483,1927/11/20,鑓田 政信,"100,000,000円","株式非上場の優良企業ランキング@全国, youtube, Wikipedia",https://biz-maps.com/item/oelOxz7LZA,
墨東企業運輸株式会社,0,墨東企業運輸株式会社は、一般貨物輸送事業を行う会社である。化学製品や、建築部材、介護用品、医療器具部品など、多様な貨物の輸送請け負っている。取扱貨物ごとに、独自の流通ルーツと特殊技術で安全に輸送を行っている。主な取引先は、医療、化学、建築業界である。,"運輸・物流業界, 一般貨物輸送",〒 130-0003 東京都墨田区横川3-6-1,1964/3/3,追川 晃,"10,000,000円","グリーン経営, 運輸・運送, 運送業",https://biz-maps.com/item/B2lvGr2WZV,
株式会社ヒューマンワーク,0,株式会社ヒューマンワークは、総合物流事業を営む会社である。物流倉庫を管理しており物流製品の封入から梱包まで実施し、軽自動車から大型車両までを使用した配送を行っている。さらに館内での配送業務やメール室運営などにも対応している。また、特定人材派遣業務にも対応し、システムや業務に関するコンサルティングにも携わっている。,"運輸・物流業界, 冷凍冷蔵車運行, その他業務請負",〒 154-0021 東京都世田谷区豪徳寺2-15-19,2003/10,吉岡 保宣,"3,000,000円",運送業,https://biz-maps.com/item/6p1XbO9oZN,
丸武運輸株式会社,0,丸武運輸株式会社は、一般貨物を運送している会社である。定期便とチャーター便それぞれのドライバーがおり、定期便では電化製品や建築資材、チャーター便では家具などの移設に対応している。軽トラックから4tトラックまで20台以上の車両を保有している。,"運輸・物流業界, 一般貨物輸送, 古本・リサイクルショップ",〒 158-0095 東京都世田谷区瀬田1-22-21,1977/4/26,斉藤 惠三,"10,000,000円",運送業,https://biz-maps.com/item/3bZ9B9bOY5,
バレーパーキングシステムズ株式会社,0,バレーパーキングシステムズ株式会社はバレーパーキングサービス等を行う企業である。デパートやホテル、高級オフィスビル、複合商業施設やレジデンス等で、車寄せで車を預かり、駐車場まで回送するサービスを行う。業態や施設コンセプトに合わせて多様なサービスを提供しており、駐車中の洗車やコンシェルジュサービスなども行っている。,"運輸・物流業界, 運輸・物流業界, タクシー, タクシー",〒 104-0061 東京都中央区銀座1丁目27番12号,2000/4/1,村山 陽,"15,000,000円","中途採用を複数媒体で行っている企業, indeed(要普通免許), リクナビNEXT",https://biz-maps.com/item/0mlzEW5K1O,
健和商工株式会社,0,健和商工株式会社は、輸送事業、倉庫業及び梱包、紙加工業を行う会社である。首都圏から全国に向けての輸送を行い、チャーター便や積み合わせ便などに対応している。倉庫業においては、巻取り物から平判、ケース物まで様々な荷物に対応する。また、プラットフォームを保持しているため国際貨物についても対応可能である。その他、巻取や平判加工、巻取の口金取付作業などの紙加工も行う。,"運輸・物流業界, 倉庫",〒 170-0013 東京都豊島区東池袋3丁目7番5号,1970/6/16,小山 肇一,"10,000,000円",決算月4月・5月企業@一都三県,https://biz-maps.com/item/b7lQaQzglr,
エム・エム・エス株式会社,0,エム・エム・エス株式会社は、主に船舶管理業務を行う会社である。船舶保有者である船主から委託された船舶のエンジンなどの機器類の保守・国際ルールに沿った安全な運航・船費年間予算作成、及び執行を行っている。定期的なトレーニングを受けた船員を、各船舶管理会社のニーズにあわせて派遣する船員配乗業務も事業としている。,"機械関連サービス業界, 機械修理, 海運",〒 153-0051 東京都目黒区上目黒1-18-12 サフィール中目黒ビル,1974/7/1,吉ヶ江 隆介,"40,000,000円","運輸・物流関連企業@関東, 人事部署直通@関東, 海外拠点保有企業@関東, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県",https://biz-maps.com/item/x6YVmdVRZB,
株式会社タムラ,0,株式会社タムラは、トラックによる運送業を営む会社である。日配加工食品や生鮮食品及び雑貨など、日常生活に身近な商品をメインに取り扱っている。温度管理対応車ならびに保管倉庫企業とのネットワークにより、最適な物流を提供している。配送業務以外に集荷や営業及び販促、代金回収ならびに人材派遣などの付帯業務もトータルして請け負っている。,"運輸・物流業界, 一般貨物輸送",〒 145-0062 東京都大田区北千束1丁目56番1号,1966/2/14,田村祐則,"20,000,000円",-,https://biz-maps.com/item/oelOyO0JYA,
川崎陸送株式会社,0,川崎陸送株式会社は一般貨物自動車運送業、倉庫業、通関業などを行う会社である。大正13年の創業以来、全国配送網の一括管理を行い、自社の倉庫やトラックの他に全国的に同業者との連携による物流網を提供し、大手ではできないきめの細やかさと迅速さで対応する。その他にも輸入菓子食品共配や飲料幹線輸送、さらに輸入食品、食品原料、医薬品、繊維製品といった、輸入に手間のかかる分野の通関業も得意とする。,"運輸・物流業界, 一般貨物輸送",〒 105-0004 東京都港区新橋3丁目22番1号,1948/7/6,樋口 恵一,"81,000,000円","ハローワーク(事務職採用×一都三県), 求人ボックス(倉庫作業_東武東上線沿線), 物流, 東京倉庫協会, 公益社団法人日本ロジスティクスシステム協会, 運送業, 一括.jp(物流倉庫), 一括.jp(物流・倉庫), 協会・組合, 倉庫保有, 一括.jp",https://biz-maps.com/item/XJ1G5NDRZQ,
中央印刷事務器株式会社,0,中央印刷事務器株式会社は、物流・メーリング・印刷を中心に、アウトソーシングを多彩なサービス形態で提案している。他にも、DM用データの収集・データの各種分析サービス・展示会やキャンペーンの支援サービスなどのマーケティング支援や、Web在庫照会・入出庫管理システムなどの情報処理も行っている。,"運輸・物流業界, 一般貨物輸送",〒 102-0084 東京都千代田区二番町11-3,/10,滝口 力,"10,000,000円","BtoB業種, 海外進出企業、海外取引, 倉庫保有, 運送業, ラスクル, マピオン倉庫保有企業, DM発送代行一括.jp, 倉庫保有, 一括.jp",https://biz-maps.com/item/kDZryv2PlG,
有限会社松和,0,有限会社松和は、大田市場を基盤に野菜・果物の仕入れ・販売を行う会社である。野菜・柑橘類の輸出入、大手スーパー・コンビニ・外食チェーンへの卸売を行う。袋詰めなどの軽作業を行える冷蔵庫を備えた設備を持ち、野菜の検品小仕分けやパッキングにも対応。受発注業務・入出庫・在庫管理・輸配送業務における貨物トレースまで手掛ける。,"商社業界, 農産物食品専門商社, 倉庫",〒 143-0001 東京都大田区東海3丁目2番6号,1983/6/1,丹羽 雄偉,"33,000,000円",Wikipedia,https://biz-maps.com/item/RDZaR7ovYA,
