会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
株式会社アイベックス,0,株式会社アイベックスは、テレビ番組撮影や映画製作、ニュースの中継などで利用される、ロケバスの運営を行う企業である。車輌はマイクロバス、ビックバン、タレントワゴン、制作ワゴン、コミューターワゴンを用意し、経験豊富で、現場の要求に素早く対応できるドライバーの採用を行っている。その他、ロケバス保険の取り扱いも行う。,"運輸・物流業界, バス, テレビ番組制作",〒 140-0012 東京都品川区勝島1丁目4番11号、東京倉庫311B,1997/9,多田 亮介,"22,000,000円",-,https://biz-maps.com/item/6p1X8Aap1N,
株式会社ハーツ,0,株式会社ハーツは、平成7年設立の運転手付レンタルトラック「レンタル便」、廃棄物処分「エコ・ユウセン」、定期的運送「レントラ定期便」等の運営を行う会社。「レントラ便」は時間制料金を採用、時間内であれば追加料金なしで往復等が可能である。不要品の回収、エアコン設置等のオプションサービスも充実、オンラインで簡単に見積り・予約・キャンセルができる。,"運輸・物流業界, 一般貨物輸送, レンタカー・リース",〒 140-0013 東京都品川区南大井5丁目12番3号,/10/1,山口 裕詮,"13,000,000円","折込チラシナビ(スーパー), タウンワーク(送迎あり), アクティブシニア活用, 社会保険労務士, リサイクル・廃棄物処理, PRwier(新着プレスリリース掲載企業), 東京商工会議所, 運送業",https://biz-maps.com/item/KL1mbzJ8ly,
関東運輸情報株式会社,0,関東運輸情報株式会社は、輸送コストの効率化を行う会社である。契約しているクライアントの荷物を降ろした後のトラックが拠点に帰る時の情報を収集し、無駄な空車を出さないように利用希望者を斡旋している。関東圏に荷物を届けた後、地元に戻るルートに乗せる荷物の斡旋を中心に手配をしている。主要取引銀行は、三井住友銀行等である。,"運輸・物流業界, 一般貨物輸送","〒 136-0071 ""東京都江東区亀戸6-57-20 FUJISAKI KAMEIDO東口ビル8F """,1996/3/28,鈴木 英一,"10,000,000円",運送業,https://biz-maps.com/item/0mlzWoKDZO,
株式会社アサヒエクス,0,株式会社アサヒエクスは、一般貨物自動車運送事業、各種梱包加工並びに発送、保管、管理を行う事業、単身の引っ越しから事業所移転、エアコンやピアノの移転まで行う引っ越し業務を行う企業である。主要取引先は、株式会社湊工芸、株式会社貿易広告社、東海東京証券株式会社、日建製造株式会社、あいおいニッセイ同和損保株式会社、株式会社ソーア、三井住友火災海上保険株式会社である。,"運輸・物流業界, 一般貨物輸送",〒 135-0002 東京都江東区住吉2-25-2,1993/6,戸田 その子,"10,000,000円",-,https://biz-maps.com/item/KL1mbzx8ly,
株式会社東京桐生運輸,0,株式会社東京桐生運輸は、運送業等を行う会社である。昭和58年創業の信頼と実績を持つことが強み。2トン車貸し切り便をはじめ、アルミバン2トンロング車、産業廃棄物処理業、軽自動車によるスポット便、引越業務、メール便、アパレル関連の配送、大手引越センターからの引越業務請負等多様なサービスを提供している。,"運輸・物流業界, 一般貨物輸送",〒 135-0062 東京都江東区東雲2-3-27-508,1985/7/17,桐生 顕,-,-,https://biz-maps.com/item/b7lQob2EYr,
株式会社オバタ,0,株式会社オバタは、オフィス移転・レイアウト変更、モデルルーム設営、配送業務などを軸とする会社である。また、モデルルームの展示されていた家具及び雑貨の販売業務も行う。実店舗での販売だけでなく、楽天市場にてWEBサイト販売も手掛ける。埼玉の2か所に倉庫を持つ。主要取引先は、三井デザインテック株式会社、アイデックス株式会社など。,"運輸・物流業界, 一般貨物輸送",〒 171-0043 東京都豊島区要町2丁目14番18号,1998/9,中西 達,"17,000,000円","エン転職(掲載日1126_1207)@東京, 運送業",https://biz-maps.com/item/bkZRE7dLlB,
株式会社カケン,0,株式会社カケンは、繊維製品・皮革製品の検査・検品を行う会社である。アパレル商品・雑貨などの様々な商品の検査・検品を行っている。具体的には、汚れ・縫製不良・生地不良など外観の検品をはじめ、採寸確認・検針検査・X線検査を行った後、報告書の作成を行っている。取引先は大手繊維メーカー・アパレル・商社・小売業等である。,"運輸・物流業界, 倉庫",〒 103-0023 東京都中央区日本橋本町3-1-8,1998/3/16,金木 幸夫,"20,000,000円","海外拠点保有企業@関東, アジア進出企業, BtoB業種, 海外進出企業、海外取引, 日本企業中国ビジネス拠点非上場企業",https://biz-maps.com/item/yP109GN0lM,
株式会社トランスポート・エースアンドエース,0,株式会社トランスポート・エースアンドエースは、一般区域貨物自動車運送事業等を手掛ける会社である。また、第1種貨物利用運送や貨物軽自動車運送も手掛けている。全てのドライバーに服装から言葉使い・挨拶の仕方といった凡事から健康まで管理・教育を行っており、大手スーパーやコンビニエンスストアの納品代行や一般輸送まで幅広く事業を展開している。,"運輸・物流業界, 一般貨物輸送",〒 174-0043 東京都板橋区坂下3丁目37番8号,1985/4/16,西岡有子,"100,000,000円",-,https://biz-maps.com/item/qKYMAe7pYg,
株式会社エール,0,株式会社エールは、印刷物に関する企画制作から配送までを請け負うエールグループの配送・管理業務部分を担う会社である。「赤帽」として展開しており、小口から大量配送までおこなう。定期配送業務に適したチャーター便、祝祭日も対応している特急便、指定時間内に配送するタイムサービス便、個人や事務所の引っ越しなどを提供している。,"運輸・物流業界, 冷凍冷蔵車運行",〒 170-0003 東京都豊島区駒込6丁目26番3号細渕ビル2階,1991/4,延嶋 一男,"10,000,000円","国土交通省宅地建物取引@東京, マンション管理業協会(会員一覧)@東京, 東京都宅地建物取引業協会, 健康宣言に取り組む企業, ものづくり補助金採択企業(14次・発表日2023年6月23日), IT導入補助金(2023年採択企業), IT導入補助金(2022年採択企業), 運送業",https://biz-maps.com/item/emld9qanZL,
株式会社サンエー物流,0,株式会社サンエー物流は、情報システムを軸とした物流技術事業を行っている会社である。具体的には、物流センターや流通加工及び補修業務のほか、通販製品の配送業務や一般貨物自動車運送事業や倉庫管理事業、写真撮影事業などの事業を請け負っている。決められた時間に効率的かつ的確に送り届けるための複雑で重要な業務を行っている。,"運輸・物流業界, 一般貨物輸送",〒 181-0014 東京都三鷹市野崎3-23-10,1977/6,田中 高行,"50,000,000円","BtoB業種, 東京倉庫協会, 一般社団法人日本倉庫協会, 倉庫保有",https://biz-maps.com/item/vx1jOnzplG,
