会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
株式会社サンファミリー,0,株式会社サンファミリーは、運送、倉庫管理等総合物流会社である。一般貨物の自動車輸送を中心とし、顧客から預かった貨物を倉庫にて適切に管理する業務も行っている。関東、東北を中心に20か所以上の営業所を展開している。また、山形県内、新潟県内においてファミリーマートの店舗運営を行っている。環境に配慮したCNG車、ハイブリット車なども積極的に導入している。,"運輸・物流業界, 冷凍冷蔵車運行, 倉庫",〒 341-0055 埼玉県三郷市上口 891-1,2003/8/26,谷本　尚基,"99,500,000円","リクナビNEXT(小売業)@関東, 第13回販売EXPO夏(来場者), 2021年第13回販促EXPO(来場者), youtube, キャンペーン実施企業, 事業所数を20拠点以上保有している企業, リクナビNEXT@新潟, 平均年収.com(運輸・物流系企業子会社), 美容部員, たのめーる掲載企業, 運送業",https://biz-maps.com/item/bkZRA3kelB,,https://www.sun-family.co.jp/?page_id=284
有限会社松本商事,0,有限会社松本商事は、一般貨物、建材運搬等の運送会社である。さいたま市の本社に加え、埼玉県の熊谷営業所、栃木県の鹿沼営業所などを展開し、一般貨物から建築、土木工事用の資材、産業廃棄物など貨物輸送業務を行っている。13トントラック、13トン冷凍車、7トンユニック車、各種2トントラックなどを保有し、多様な貨物輸送が可能である。,"運輸・物流業界, 一般貨物輸送",〒 339-0056 埼玉県さいたま市岩槻区加倉5-9-9-1,2003/5/28,松本 英二,"10,000,000円","youtube, リサイクル・廃棄物処理",https://biz-maps.com/item/Vo1egW2mZW,,
株式会社エー・シー・トランスポート,0,株式会社エー・シー・トランスポートは、精密機器輸送会社である。サーバー、医療機器、電子顕微鏡などの精密機械の輸送を得意とし、丁寧な梱包、エアサス車の使用などで顧客の満足度も高く、リピーターが多い。埼玉本社のほかに新宿、名古屋に営業所を展開しており、社員寮などの福利厚生も充実している。また、働き方改革の実践企業としての認可も取得している。,"運輸・物流業界, 機械輸送",〒 335-0034 埼玉県戸田市笹目8-10-23,2002/1/15,篠田昌孝,"10,000,000円","今年求人を行なっている企業, リクナビ2025, マイナビ2025, 社長メシ(2023年11月掲載企業), 社長メシ(掲載企業全一覧), マイナビ2023 (21年11月), youtube, 会社説明会実施企業, リサイクル・廃棄物処理, 働き方改革, オフィスリニューアル, 補助金申請企業, 健康経営優良法人2021認定一覧(中小部門), 平成28年度補正サービス等生産性向上IT導入支援事業費補助金(二次公募), 運送業, リクナビ(社内イベントあり), 補助金・助成金採択企業",https://biz-maps.com/item/85lW043VZg,,https://www.ac2002.co.jp/lp/contact/contact.php
トキワ株式会社,0,トキワ株式会社は、物流、シュリンク加工、包装を行う会社である。本社のほか、クリーンルームを有する施設での医薬外品商品や化粧水などのスキンケア用品などの包装も可能である。そのほか、お中元、お歳暮、バレンタインデーギフトなどの季節商品の包装、販促用のディスプレイの製作、組み立てなどの業務も受付可能である。,"運輸・物流業界, 倉庫",〒 340-0813 埼玉県八潮市木曽根1227番地1,2003/6/2,那須野 智子,"10,000,000円",-,https://biz-maps.com/item/3bZ9jJnJY5,,https://www.tokiwa-corp.com
白金ロジスティクス株式会社,0,白金ロジスティクス株式会社は、貨物の運送事業などを手掛けている企業である。埼玉県に本社を構えるほか、愛知県と大阪府に事業所を配置し、一般貨物自動車運送事業や貨物運送取扱事業、倉庫業などを営んでいる。低公害車導入を積極的に行っているなど、環境保全活動に熱心であるとともに、社員が仕事と子育てを両立させることができるよう、働きやすい環境づくりを進めている。,"運輸・物流業界, 一般貨物輸送",〒 344-0127 埼玉県春日部市水角1097番地1,2002/3/27,海鋒 徹哉,"10,000,000円","ハローワーク(事務職採用×一都三県), リサイクル・廃棄物処理, グリーン経営, 運送業",https://biz-maps.com/item/x6YVJvzxYB,,https://www.srgl.jp/form.html
株式会社インフィールド,0,株式会社インフィールドは、運送及び家具配送を行っている企業である。事業内容は、全国への全車種手配を行う一般貨物輸送、オフィス家具の配送・組み立て及び大口物件の搬入・施工それに伴う管理業務、クロスドッキング、ピストン輸送などを行う。また、特定人材派遣業務により、配車・倉庫・現場の管理を行う人材を派遣、オフィス家具販売業務も行う。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 359-0014 埼玉県所沢市大字亀ケ谷207番地2,2000/2/1,野中 章男,"10,000,000円","東京都宅地建物取引業協会, youtube, 3月決算企業(従業員30_100名)@東京・神奈川・千葉・埼玉, 運送業",https://biz-maps.com/item/Vo1egWGJZW,,https://www.infield-cad.com/contact
エスエスサービス株式会社,0,エスエスサービス株式会社は、一般貨物運送事業を行う。また、産業廃棄物収集運搬業務も手がけている。貸切チャーター便、スポット運送便を主な業務としており、安全・確実を第一に考えた業務を行っている。また、検品・梱包・ラベル貼りなどの加工業務も展開しており、大量ロット・スポット案件などにも対応している。,"運輸・物流業界, 一般貨物輸送",〒 362-0022 埼玉県上尾市瓦葺1222番地の1,1989/5/24,飯野 陽輔,"10,000,000円",運送業,https://biz-maps.com/item/B2ZB67beZV,,http://www.ss-service.co.jp/inquiry/
中央交通株式会社,0,中央交通株式会社は、一般貸切旅客自動車運送業、貸切バスの運行を行う会社である。昭和61年設立、資本金は4000万円である。安全管理に力を入れており、「脳MRI健診」を導入するなどの健康管理、衝突被害軽減ブレーキなど最新車両の導入、自動車事故対策機構の指導のもと運行管理者教育を行うなど顧客の信用は高い。,"運輸・物流業界, バス",〒 334-0056 埼玉県川口市峯992番地1,1986/3/6,-,"40,000,000円","抗菌施工・抗菌コーティング, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 旅行代理店NAVItime, バス事業者, 公共社団法人バス協会, 旅行代理店, 協会・組合, バス",https://biz-maps.com/item/Vo1egWAVZW,,https://www.ck-bus.co.jp/contact/
株式会社清光ライン,0,株式会社清光ラインは、埼玉県戸田市で一般貨物輸送業を行う会社である。関東一円エリアで中距離輸送を中心に配送業務を行なっており、ドライ製品に特化した輸送サービスを強みとしている。また、大型車両にはない小回りの利く輸送が評価されている。主要取引先はアートコーポレーション株式会社・旭化成建材株式会社・株式会社アメフレック等。,"運輸・物流業界, 一般貨物輸送",〒 335-0031 埼玉県戸田市美女木2丁目19番6号,2005/4/28,清水 朋一,"10,000,000円","ドラEVER掲載企業, リサイクル・廃棄物処理, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, はたらいく(運送), 運送業, はたらいく",https://biz-maps.com/item/RDZanDXJYA,,http://www.seikou-line.com/inquiry/
有限会社三芳野タクシー,0,有限会社三芳野タクシーは、タクシー会社を経営している会社である。1978年創業、タクシー3台から始まり、現在はタクシー27台保有、マイクロバスも4台、福祉タクシー2台、霊柩・搬送車6台と事業を拡大させてきている。また陣痛タクシー事前登録制という独自のサービスも展開。移動を通じて地域と人と心をつなぐ会社である。,"運輸・物流業界, タクシー, バス",〒 350-0212 埼玉県坂戸市大字石井2115番地1,1978/9/1,吉野　裕太,"12,500,000円","スポーツチーム(スポンサー), グリーン経営",https://biz-maps.com/item/RDZanak0YA,,https://miyoshinotaxi.com/contact/
